Ordner                                                                                                                                                                                              |         MB |        Bytes
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64\CMakeFiles                                                                                                                  |       0.12 |      128,527
flutter\exercises\bibliothek_dashboard\build\app\intermediates\compressed_assets\debug\compressDebugAssets\out\assets\flutter_assets\packages                                                       |       0.12 |      127,266
flutter\exercises\bibliothek_dashboard\build\app\intermediates\compressed_assets\debug\compressDebugAssets\out\assets\flutter_assets\packages\cupertino_icons                                       |       0.12 |      127,266
flutter\exercises\bibliothek_dashboard\build\app\intermediates\compressed_assets\debug\compressDebugAssets\out\assets\flutter_assets\packages\cupertino_icons\assets                                |       0.12 |      127,266
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a\CMakeFiles                                                                                                             |       0.12 |      127,062
flutter\exercises\bibliothek_dashboard\build\windows\x64\CMakeFiles\4.2.3-msvc3                                                                                                                     |       0.11 |      118,802
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Network                                                                                                                     |       0.11 |      117,316
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\flutter_wrapper_plugin.dir\Debug\flutter_.E979EDF3.tlog                                                                            |       0.11 |      111,827
flutter\exercises\bibliothek_dashboard\build\app\intermediates\linked_resources_binary_format                                                                                                       |       0.11 |      111,611
flutter\exercises\bibliothek_dashboard\build\app\intermediates\linked_resources_binary_format\debug                                                                                                 |       0.11 |      111,611
flutter\exercises\bibliothek_dashboard\build\app\intermediates\linked_resources_binary_format\debug\processDebugResources                                                                           |       0.11 |      111,611
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir                                                                                     |       0.09 |       99,600
flutter\exercises\bibliothek_dashboard\windows\flutter\ephemeral\cpp_client_wrapper\include                                                                                                         |       0.09 |       99,393
flutter\exercises\bibliothek_dashboard\windows\flutter\ephemeral\cpp_client_wrapper\include\flutter                                                                                                 |       0.09 |       99,393
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res                                                                                                                           |       0.09 |       98,200
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res\debug                                                                                                                     |       0.09 |       98,200
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res\debug\mergeDebugResources                                                                                                 |       0.09 |       98,200
flutter\exercises\bibliothek_dashboard\build\app\kotlin\compileDebugKotlin\cacheable\caches-jvm\lookups                                                                                             |       0.09 |       90,429
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty                                                                                         |       0.09 |       89,610
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64\CMakeFiles\3.22.1-g37088a8-dirty                                                                                            |       0.08 |       87,129
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty                                                                                       |       0.08 |       82,018
flutter\exercises\bibliothek_dashboard\build\app\intermediates\compile_and_runtime_not_namespaced_r_class_jar                                                                                       |       0.06 |       66,897
flutter\exercises\bibliothek_dashboard\build\app\intermediates\compile_and_runtime_not_namespaced_r_class_jar\debug                                                                                 |       0.06 |       66,897
flutter\exercises\bibliothek_dashboard\build\app\intermediates\compile_and_runtime_not_namespaced_r_class_jar\debug\processDebugResources                                                           |       0.06 |       66,897
flutter\exercises\bibliothek_dashboard\ios                                                                                                                                                          |       0.06 |       66,779
flutter\exercises\bibliothek_dashboard\build\windows\x64\CMakeFiles\4.2.3-msvc3\CompilerIdCXX                                                                                                       |       0.06 |       59,472
flutter\exercises\bibliothek_dashboard\windows\runner                                                                                                                                               |       0.06 |       59,339
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Sessions                                                                                                                    |       0.06 |       58,050
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a\.cmake                                                                                                                 |       0.05 |       57,511
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a\.cmake\api                                                                                                             |       0.05 |       57,511
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a\.cmake\api\v1                                                                                                          |       0.05 |       57,511
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a\.cmake\api\v1\reply                                                                                                    |       0.05 |       57,511
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a\.cmake                                                                                                                   |       0.05 |       57,485
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a\.cmake\api                                                                                                               |       0.05 |       57,485
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a\.cmake\api\v1                                                                                                            |       0.05 |       57,485
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a\.cmake\api\v1\reply                                                                                                      |       0.05 |       57,485
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64\.cmake                                                                                                                      |       0.05 |       57,446
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64\.cmake\api                                                                                                                  |       0.05 |       57,446
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64\.cmake\api\v1                                                                                                               |       0.05 |       57,446
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64\.cmake\api\v1\reply                                                                                                         |       0.05 |       57,446
flutter\exercises\bibliothek_dashboard\build\app\tmp                                                                                                                                                |       0.05 |       54,244
flutter\exercises\bibliothek_dashboard\android\gradle                                                                                                                                               |       0.05 |       53,796
flutter\exercises\bibliothek_dashboard\android\gradle\wrapper                                                                                                                                       |       0.05 |       53,796
flutter\exercises\bibliothek_dashboard\build\app\tmp\compileDebugJavaWithJavac                                                                                                                      |       0.05 |       53,586
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Shared Dictionary                                                                                                           |       0.04 |       45,128
flutter\exercises\bibliothek_dashboard\web                                                                                                                                                          |       0.04 |       43,615
flutter\exercises\bibliothek_dashboard\build\app\intermediates\cxx                                                                                                                                  |       0.04 |       41,925
flutter\exercises\bibliothek_dashboard\build\app\intermediates\cxx\debug                                                                                                                            |       0.04 |       41,925
flutter\exercises\bibliothek_dashboard\build\app\intermediates\cxx\debug\2k2b5h51                                                                                                                   |       0.04 |       41,925
flutter\exercises\bibliothek_dashboard\build\app\intermediates\cxx\debug\2k2b5h51\logs                                                                                                              |       0.04 |       41,925
flutter\exercises\bibliothek_dashboard\build\app\kotlin\compileDebugKotlin\cacheable\caches-jvm\inputs                                                                                              |       0.04 |       41,310
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\WebStorage                                                                                                                  |       0.04 |       40,960
flutter\exercises\bibliothek_dashboard\web\icons                                                                                                                                                    |       0.04 |       40,136
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets\debug\mergeDebugAssets\flutter_assets\shaders                                                                                 |       0.04 |       38,696
flutter\exercises\bibliothek_dashboard\build\app\intermediates\flutter\debug\flutter_assets\shaders                                                                                                 |       0.04 |       38,696
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\Debug\data\flutter_assets\shaders                                                                                                   |       0.04 |       38,696
flutter\exercises\bibliothek_dashboard\build\windows\x64\x64                                                                                                                                        |       0.04 |       37,906
flutter\exercises\bibliothek_dashboard\build\windows\x64\x64\Debug                                                                                                                                  |       0.04 |       37,906
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex\debug\mergeProjectDexDebug                                                                                                       |       0.04 |       37,292
flutter\exercises\bibliothek_dashboard\build\app\outputs\logs                                                                                                                                       |       0.03 |       36,027
flutter\exercises\bibliothek_dashboard\build\app\intermediates\dex\debug\mergeProjectDexDebug\0                                                                                                     |       0.03 |       35,444
flutter\exercises\bibliothek_dashboard\windows\runner\resources                                                                                                                                     |       0.03 |       33,772
flutter\exercises\bibliothek_dashboard\ios\Runner                                                                                                                                                   |       0.03 |       32,558
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                             |       0.03 |       31,712
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                           |       0.03 |       31,452
flutter\exercises\bibliothek_dashboard\macos\Runner.xcodeproj                                                                                                                                       |       0.03 |       31,301
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                                |       0.03 |       31,104
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                              |       0.03 |       30,876
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                           |       0.03 |       29,808
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                         |       0.03 |       29,576
flutter\exercises\bibliothek_dashboard\ios\Runner.xcodeproj                                                                                                                                         |       0.03 |       29,344
flutter\exercises\bibliothek_dashboard\ios\Runner\Assets.xcassets                                                                                                                                   |       0.02 |       24,926
flutter\exercises\bibliothek_dashboard\macos\Runner\Base.lproj                                                                                                                                      |       0.02 |       24,072
flutter\exercises\bibliothek_dashboard\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                |       0.02 |       23,968
